time,tps,vps
2024-06-26 18:21:08,56,0.8643
2024-06-26 18:21:09,11,0.0206
2024-06-26 18:21:10,51,1.69417
2024-06-26 18:21:11,10,0.23568000000000003
2024-06-26 18:21:12,0,0.0
2024-06-26 18:21:13,6,0.14993
2024-06-26 18:21:14,13,0.01678
2024-06-26 18:21:15,147,0.0601
2024-06-26 18:21:16,2,0.00504
2024-06-26 18:21:17,5,0.10568
2024-06-26 18:21:18,4,0.056330000000000005
2024-06-26 18:21:19,5,0.01927
2024-06-26 18:21:20,9,0.00301
2024-06-26 18:21:21,3,0.015210000000000001
2024-06-26 18:21:22,2,0.00082
2024-06-26 18:21:23,3,0.0497
2024-06-26 18:21:24,0,0.0
2024-06-26 18:21:25,22,0.25944
2024-06-26 18:21:26,2,0.01926
2024-06-26 18:21:27,2,0.0249
2024-06-26 18:21:28,1,0.00148
2024-06-26 18:21:29,3,0.05449999999999999
2024-06-26 18:21:30,28,1.15639
2024-06-26 18:21:31,12,0.10206
2024-06-26 18:21:32,4,0.0315
2024-06-26 18:21:33,2,0.0033799999999999998
2024-06-26 18:21:34,5,0.00887
2024-06-26 18:21:35,6,0.015109999999999998
2024-06-26 18:21:36,41,0.6263
2024-06-26 18:21:37,8,0.04724
2024-06-26 18:21:38,51,0.90367
2024-06-26 18:21:39,72,1.62222
2024-06-26 18:21:40,4,0.02304
2024-06-26 18:21:41,57,0.36343000000000003
2024-06-26 18:21:42,19,0.2953
2024-06-26 18:21:43,13,0.50498
2024-06-26 18:21:44,3,0.06296
2024-06-26 18:21:45,3,0.00335
2024-06-26 18:21:46,2,0.00834
2024-06-26 18:21:47,57,1.18524
2024-06-26 18:21:48,7,0.02647
2024-06-26 18:21:49,40,0.02637
2024-06-26 18:21:50,3,0.016980000000000002
2024-06-26 18:21:51,5,0.08689000000000001
2024-06-26 18:21:52,34,0.1661
2024-06-26 18:21:53,3,0.15895
2024-06-26 18:21:54,4,0.0134
2024-06-26 18:21:55,2,0.02145
2024-06-26 18:21:56,0,0.0
2024-06-26 18:21:57,3,0.20179000000000002
2024-06-26 18:21:58,0,0.0
2024-06-26 18:21:59,6,0.00616
2024-06-26 18:22:00,4,0.00568
2024-06-26 18:22:01,70,1.17327
2024-06-26 18:22:02,7,0.0038900000000000002
2024-06-26 18:22:03,6,0.06795
2024-06-26 18:22:04,5,0.05072
2024-06-26 18:22:05,5,0.046799999999999994
2024-06-26 18:22:06,2,0.0054
2024-06-26 18:22:07,7,0.04421
2024-06-26 18:22:08,10,0.15373
2024-06-26 18:22:09,20,0.09991
2024-06-26 18:22:10,0,0.0
2024-06-26 18:22:11,2,0.0089
2024-06-26 18:22:12,2,0.08022
2024-06-26 18:22:13,2,0.00247
2024-06-26 18:22:14,0,0.0
2024-06-26 18:22:15,1,0.00131
2024-06-26 18:22:16,6,0.0032199999999999998
