time,tps
2024-06-26 18:21:08,56
2024-06-26 18:21:09,11
2024-06-26 18:21:10,51
2024-06-26 18:21:11,10
2024-06-26 18:21:12,0
2024-06-26 18:21:13,6
2024-06-26 18:21:14,13
2024-06-26 18:21:15,147
2024-06-26 18:21:16,2
2024-06-26 18:21:17,5
2024-06-26 18:21:18,4
2024-06-26 18:21:19,5
2024-06-26 18:21:20,9
2024-06-26 18:21:21,3
2024-06-26 18:21:22,2
2024-06-26 18:21:23,3
2024-06-26 18:21:24,0
2024-06-26 18:21:25,22
2024-06-26 18:21:26,2
2024-06-26 18:21:27,2
2024-06-26 18:21:28,1
2024-06-26 18:21:29,3
2024-06-26 18:21:30,28
2024-06-26 18:21:31,12
2024-06-26 18:21:32,4
2024-06-26 18:21:33,2
2024-06-26 18:21:34,5
2024-06-26 18:21:35,6
2024-06-26 18:21:36,41
2024-06-26 18:21:37,8
2024-06-26 18:21:38,51
2024-06-26 18:21:39,72
2024-06-26 18:21:40,4
2024-06-26 18:21:41,57
2024-06-26 18:21:42,19
2024-06-26 18:21:43,13
2024-06-26 18:21:44,3
2024-06-26 18:21:45,3
2024-06-26 18:21:46,2
2024-06-26 18:21:47,57
2024-06-26 18:21:48,7
2024-06-26 18:21:49,40
2024-06-26 18:21:50,3
2024-06-26 18:21:51,5
2024-06-26 18:21:52,34
2024-06-26 18:21:53,3
2024-06-26 18:21:54,4
2024-06-26 18:21:55,2
2024-06-26 18:21:56,0
2024-06-26 18:21:57,3
2024-06-26 18:21:58,0
2024-06-26 18:21:59,6
2024-06-26 18:22:00,4
2024-06-26 18:22:01,70
2024-06-26 18:22:02,7
2024-06-26 18:22:03,6
2024-06-26 18:22:04,5
2024-06-26 18:22:05,5
2024-06-26 18:22:06,2
2024-06-26 18:22:07,7
2024-06-26 18:22:08,10
2024-06-26 18:22:09,20
2024-06-26 18:22:10,0
2024-06-26 18:22:11,2
2024-06-26 18:22:12,2
2024-06-26 18:22:13,2
2024-06-26 18:22:14,0
2024-06-26 18:22:15,1
2024-06-26 18:22:16,6
